ネットワーク    通信端末や各種サーバーの間を有線や無線で繋ぎ、情報の伝達を行うための通信設備      
LAN　　　　　　限定されたエリアで接続できるネットワークス
有線LAN　　　　LANケーブルと使って接続する方法を使ったLAN
無線LAN        LANケーブルを使わず無線接続する方法を使ったLAN
WAN            広いエリアで接続できるネットワーク
インターネット　世界中のコンピュータ等の情報設備を接続するネットワーク

ネットワーク構成　ネットワーク設定、ポリシー、フロー及び制御を割り付けるプロセス
ノード　　　　　　コンピューターネットワークを構成する機器のこと
リンク　　　　　　ノードとノードを接続するための線
トポロジ　　　　　接続形態の事でノードをどのように接続するかを示す
バス型トポロジ　　複数のノードを1本のケーブルで接続する形態　ターミネーター使用
スター型トポロジ　複数のノードを中心となる機器を介してスポーク上に接続する形態　スイッチングハブ使用
メッシュ型トポロジ　ノード同士が相互に接続されたネットワーク形態
帯域　　　　　　　　通信に使用される周波数における「最も高い周波数」と「最も低い周波数」の範囲
bps　　　　　　　1秒間にどれだけ多くのビットを送信できるかを表す単位
輻輳　　　　　　　インターネット回線や電話回線にアクセスが集中すること
コリジョン　　　　ネットワーク上の同一伝送路にて複数の端末がデータを送信し衝突すること
ドメイン　　　　　ネットワーク上の住所の事
ポート　　　　　　「サーバアプリケーションを特定するときに使用する番号」であり、「サーバ上で展開される窓」

モデル　　　　　学習後の具体的な計算式/方法
プロコトル　　　コンピュータ同士がネットワークを通して通信する際に決められた決まり
OSI参照モデル　　ISOが作ったデータ通信機能におけるモデル(イメージ図)
ヘッダ　　　　　データや文書の本体の先頭に付け加えられる、そのデータや文書自体の情報を記述した部分　
カプセル化　　　オブジェクトのデータを外からアクセスできなくして保護すること
非カプセル化　　カプセル化された各データのヘッダを取り外す事
PDU　　　　　　　コンピュータ間の通信に使用されるデータを送る単位
MTV　　　　　　　ネットワークにおいて、1回の転送で送受信できるデータの最大値
フレーム　　　　PDUの呼び方の１つイーサネットや無線LANではフレームと呼ばれる
パケット　　　　PDUの呼び方の１つプロコトルを使用したらセグメントと呼ばれる
セグメント　　　PDUの呼び方の１つTCPプロコトルを使用したらパケットと呼ばれる
TCP/IPモデル　　コンピュータネットワークにおいて、標準的に利用されている通信プロトコル

物理層　　　　　OSI参照モデルのレイヤ1（L1）の規格
ビット　　　　　コンピュータが処理する最小単位
ツイストペアケーブル　2本の銅線をぐりぐりとよりあわせて1本の線にした線種類はUTPとSTUがある
UTP　　　　　　　シールドされてないケーブル
STU　　　　　　　銅線をアルミや紙でシールドしているケーブル
カテゴリー　　　ツイストペアケーブルを電気的な特性から分類されるプレート
コネクタ　　　　ケーブルをつなぐ電子部品　ツイストペアケーブルにおいてはRj45の事
ストレートケーブル　他の電子機器(PCとルーター、また、PCとHub)を接続する時のケーブル
クロスケーブル　　　パソコン同士で接続したときのケーブル
光ファイバーケーブル　1本1本細い繊維状の線を複数束ねて保護被膜を施したケーブル
ハブ　　　　　　ネットワークのケーブルが集まっている装置
半二重通信　　　一度に「送信」と「受信」の片方しか行えない通信方法

データリンク層　OSI参照モデルの第二層「レイヤ2」で定義されている層
イーサネット　　主にパソコンなどで信号をやり取りに用いられている規格
ファストイーサネット　元来の速度10Mbsの速度に対し公称100Mbsの速度でトラフィックを伝えるいくつかの規格
ギガビットイーサネット　頑張れば1Gps位のスピードでやり取りできる規格
イーサネットヘッダ　ネットワーク上を流れるデータの中身の一部で、イーサネットが書かれている部分
トレーラ　　　　　　データ区切って転送するとき区切られたデータ1つ1つに付与される制御情報
CSMA/CD　　　　　　通信状況を監視していてコリジョンが発生したら一旦止め、後で送りなおす通信方式
MACアドレス　　　　PCやルータなどのネットワーク機器についている番号
スイッチ　　　　　ネットワーク中のデータを見て行き先を振り分けてくれる機器
MACアドレステーブル　どのMACアドレスが持つ機器が接続されているかを記録したもの
フラッディング　　　ネットワーク上に接続された機器やシステムに限界を超えるデータが来て動作に支障をきたす事
全二重通信　　　　送信回線、受信回線をそれぞれ別に備える事、送受を同時に行える
VLAN　　　　　　　仮想的なLANセグメントを作る技術
タグVLAN　　　　　ネットワークを流れる個々のフレームに転送先のグループの識別番号を付与する仕組み
ポートベースVLAN　スイッチのどの穴に線を指すかでどのネットワークに所属するか決まる方式　　1～5の中で1.2なら所属になる
アクセスポート　　１つのネットワークを形成する穴のこと　プリンターなどの端末とスイッチを接続するため
トランクポート　　複数のネットワークを形成できる穴のことスイッチ同士を繋げて他のスイッチとネットワークを形成できる
DTP　　　　　　　　PC等の安価なハードウェア、ソフトウェアを利用して印刷物を作成するための処理
デフォルトVLAN　　VLANの指定がないポートやフレームの通信に用いられるVLAN
ネイティブVLAN    トランクポート間をつなぐ線で唯一タグ付けせずに送受信されるVLAN
ブロードキャストストーム ブロードキャスト(同一ネットワーク上にある全ての端子と通信を行う方式)が届く範囲
スパニングツリープロコトル　ブロードキャストストームなどのループによる問題を回避するためのプロコトル
リンクアグリゲーション　　複数の物理リンクを束ねて1つの倫理リンクとして扱える技術
ETHER CHANNEL　　　　　　　CISCOではリンクアグリゲーションのことをこう呼んでる

